iter	Logloss
0	0.6678249245
1	0.6421567257
2	0.6218210688
3	0.6070117759
4	0.5918725865
5	0.581963077
6	0.5736601024
7	0.5667251912
8	0.5592420713
9	0.5537460777
10	0.548972746
11	0.5431541576
12	0.5387764489
13	0.5328358078
14	0.5293178704
15	0.5244946814
16	0.5210926379
17	0.5161137641
18	0.5149566306
19	0.5128753348
20	0.5091842032
21	0.5081369748
22	0.5065794874
23	0.5054286078
24	0.5032050906
25	0.5021590225
26	0.5008239003
27	0.498230527
28	0.4960124203
29	0.4942755566
30	0.4928784081
31	0.4900527622
32	0.4884874917
33	0.4860187675
34	0.4829181458
35	0.481561533
36	0.4810447969
37	0.4795604668
38	0.4779513293
39	0.4765298996
40	0.4751469831
41	0.4736180378
42	0.4726357351
43	0.4720768293
44	0.4696017064
45	0.469242919
46	0.468351071
47	0.4676268523
48	0.4673104454
49	0.465538605
50	0.4648708112
51	0.4640424149
52	0.4625499627
53	0.4618889669
54	0.4615222915
55	0.4603900306
56	0.4596212496
57	0.4583107095
58	0.4574332373
59	0.4559603199
60	0.4554318171
61	0.4543075949
62	0.4530351084
63	0.4519532412
64	0.4508569703
65	0.4501368258
66	0.4495718956
67	0.4495372626
68	0.4489988544
69	0.4480093374
70	0.4474791123
71	0.4464175649
72	0.4454733297
73	0.4446574868
74	0.4433661508
75	0.4423419614
76	0.4417948321
77	0.4408480419
78	0.4405353666
79	0.4387598183
80	0.4383229183
81	0.437292626
82	0.4359369181
83	0.4348413991
84	0.433704873
85	0.4332215607
86	0.4330369107
87	0.4317414537
88	0.4314177114
89	0.430813309
90	0.4299713037
91	0.4291872024
92	0.4280484261
93	0.427407216
94	0.4268426268
95	0.4267674033
96	0.4263404053
97	0.4245945566
98	0.4232214609
99	0.4224640792
100	0.4219474642
101	0.4216700727
102	0.4211431465
103	0.4197255265
104	0.4192884764
105	0.4184971081
106	0.4179221896
107	0.4172748139
108	0.4167727028
109	0.4154931109
110	0.4142863889
111	0.4125512517
112	0.411900701
113	0.4114077288
114	0.4101527226
115	0.409675329
116	0.4085127361
117	0.4082442164
118	0.4071431271
119	0.4066873953
120	0.405707173
121	0.4048156995
122	0.4043924689
123	0.4037983283
124	0.402101237
125	0.401360831
126	0.4006932482
127	0.4001657949
128	0.3998249921
129	0.3989371119
130	0.3972575485
131	0.3966590281
132	0.3958306419
133	0.3953001752
134	0.3947690184
135	0.393615475
136	0.3930985597
137	0.3920574236
138	0.3916429525
139	0.3912556601
140	0.3905159455
141	0.3897182012
142	0.3892431513
143	0.3877859138
144	0.3866350306
145	0.3861549566
146	0.3852164379
147	0.3846728583
148	0.3839498875
149	0.3821578651
150	0.381684952
151	0.3804553356
152	0.3802177568
153	0.3790044707
154	0.3779345353
155	0.3769769335
156	0.3764383639
157	0.3762417993
158	0.3758047972
159	0.3754039626
160	0.3745589446
161	0.3743908861
162	0.3737002808
163	0.3732647025
164	0.3726315298
165	0.3715317962
166	0.3706157697
167	0.3702799801
168	0.3698189622
169	0.369341052
170	0.3681870937
171	0.3673577598
172	0.3665364785
173	0.3656024783
174	0.3648524261
175	0.3644327347
176	0.3641997136
177	0.3638848361
178	0.3628060226
179	0.3615806717
180	0.3612392676
181	0.3605598153
182	0.3597681869
183	0.3594146106
184	0.3591201576
185	0.3588437089
186	0.3581275777
187	0.3579440497
188	0.3570415265
189	0.3565935899
190	0.356298666
191	0.3557793445
192	0.3548466033
193	0.3545942616
194	0.3537477138
195	0.3535211953
196	0.3529698116
197	0.3520478182
198	0.3516983848
199	0.3507687053
